,Name,Team,Games,RunAtt,RunYards,RunTD,Targets,Rec,RecYards,RecTD,FFP,FFPPG,Season,Week
8574,AaronBrown,DET,1.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,2009.0,1
8667,AaronBrown,DET,1.0,4.0,10.0,0.0,2.0,1.0,3.0,0.0,2.3,2.3,2009.0,2
8752,AaronBrown,DET,1.0,5.0,6.0,0.0,1.0,1.0,9.0,0.0,2.5,2.5,2009.0,3
8851,AaronBrown,DET,1.0,1.0,3.0,0.0,1.0,1.0,14.0,0.0,2.7,2.7,2009.0,4
8974,AaronBrown,DET,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,5
9061,AaronBrown,DET,1.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,1.3,1.3,2009.0,6
9232,AaronBrown,DET,1.0,2.0,15.0,0.0,4.0,2.0,13.0,0.0,4.8,4.8,2009.0,8
9339,AaronBrown,DET,1.0,4.0,27.0,0.0,0.0,0.0,0.0,0.0,2.7,2.7,2009.0,9
9526,AaronBrown,DET,1.0,0.0,0.0,0.0,1.0,1.0,26.0,1.0,9.6,9.6,2009.0,11
9685,AaronBrown,DET,1.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.5,0.5,2009.0,12
9780,AaronBrown,DET,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2009.0,13
9872,AaronBrown,DET,1.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,1.2,1.2,2009.0,14
9972,AaronBrown,DET,1.0,2.0,9.0,0.0,1.0,0.0,0.0,0.0,0.9,0.9,2009.0,15
10081,AaronBrown,DET,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,2009.0,16
10127,AaronBrown,DET,1.0,3.0,21.0,0.0,3.0,3.0,19.0,0.0,7.0,7.0,2009.0,17
10285,AaronBrown,DET,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010.0,1
10343,AaronBrown,DET,1.0,3.0,13.0,0.0,3.0,2.0,10.0,0.0,4.3,4.3,2010.0,2
10484,AaronBrown,DET,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010.0,3
11239,AaronBrown,DET,1.0,1.0,9.0,0.0,2.0,2.0,6.0,0.0,3.5,3.5,2010.0,11
11314,AaronBrown,DET,1.0,13.0,36.0,0.0,8.0,4.0,29.0,0.0,10.5,10.5,2010.0,12
11476,AaronBrown,DET,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010.0,13
13238,AaronBrown,DET,1.0,1.0,0.0,0.0,1.0,1.0,9.0,0.0,1.9,1.9,2011.0,14
123,AaronStecker,NO,1.0,15.0,41.0,0.0,7.0,6.0,19.0,0.0,12.0,12.0,2004.0,2
206,AaronStecker,NO,1.0,18.0,106.0,1.0,7.0,4.0,20.0,0.0,22.6,22.6,2004.0,3
314,AaronStecker,NO,1.0,8.0,23.0,0.0,9.0,6.0,71.0,0.0,15.4,15.4,2004.0,4
430,AaronStecker,NO,1.0,4.0,27.0,0.0,4.0,4.0,15.0,0.0,8.2,8.2,2004.0,5
558,AaronStecker,NO,1.0,1.0,3.0,0.0,1.0,1.0,9.0,0.0,2.2,2.2,2004.0,6
969,AaronStecker,NO,1.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,1.2,1.2,2004.0,10
1074,AaronStecker,NO,1.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,1.3,1.3,2004.0,11
1187,AaronStecker,NO,1.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.5,0.5,2004.0,12
1282,AaronStecker,NO,1.0,0.0,0.0,0.0,1.0,1.0,-1.0,0.0,0.9,0.9,2004.0,13
1359,AaronStecker,NO,1.0,1.0,3.0,0.0,2.0,2.0,10.0,0.0,3.3,3.3,2004.0,14
1441,AaronStecker,NO,1.0,1.0,9.0,0.0,3.0,3.0,26.0,0.0,6.5,6.5,2004.0,15
1571,AaronStecker,NO,1.0,5.0,20.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2004.0,16
1641,AaronStecker,NO,1.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,6.7,6.7,2004.0,17
1782,AaronStecker,NO,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,2005.0,1
2227,AaronStecker,NO,1.0,16.0,86.0,0.0,3.0,2.0,0.0,0.0,10.6,10.6,2005.0,6
2326,AaronStecker,NO,1.0,12.0,33.0,0.0,7.0,3.0,32.0,0.0,9.5,9.5,2005.0,7
2436,AaronStecker,NO,1.0,4.0,23.0,0.0,4.0,3.0,16.0,0.0,6.9,6.9,2005.0,8
2543,AaronStecker,NO,1.0,13.0,29.0,0.0,3.0,2.0,17.0,0.0,6.6,6.6,2005.0,9
2717,AaronStecker,NO,1.0,7.0,25.0,0.0,9.0,6.0,72.0,0.0,15.7,15.7,2005.0,11
2837,AaronStecker,NO,1.0,11.0,54.0,0.0,1.0,1.0,6.0,0.0,7.0,7.0,2005.0,12
2927,AaronStecker,NO,1.0,5.0,5.0,0.0,4.0,4.0,55.0,0.0,10.0,10.0,2005.0,13
3039,AaronStecker,NO,1.0,7.0,35.0,0.0,2.0,2.0,12.0,0.0,6.7,6.7,2005.0,14
3113,AaronStecker,NO,1.0,9.0,59.0,0.0,7.0,6.0,42.0,0.0,16.1,16.1,2005.0,15
3255,AaronStecker,NO,1.0,7.0,5.0,0.0,3.0,2.0,13.0,0.0,3.8,3.8,2005.0,16
3341,AaronStecker,NO,1.0,2.0,10.0,0.0,4.0,4.0,16.0,0.0,6.6,6.6,2005.0,17
3548,AaronStecker,NO,1.0,0.0,0.0,0.0,3.0,3.0,21.0,0.0,5.1,5.1,2006.0,2
3743,AaronStecker,NO,1.0,0.0,0.0,0.0,3.0,3.0,15.0,0.0,4.5,4.5,2006.0,4
3937,AaronStecker,NO,1.0,3.0,9.0,0.0,4.0,2.0,14.0,0.0,4.3,4.3,2006.0,6
4166,AaronStecker,NO,1.0,1.0,2.0,0.0,2.0,1.0,5.0,0.0,1.7,1.7,2006.0,8
4330,AaronStecker,NO,1.0,0.0,0.0,0.0,3.0,3.0,78.0,0.0,10.8,10.8,2006.0,10
4425,AaronStecker,NO,1.0,0.0,0.0,0.0,7.0,5.0,53.0,0.0,10.3,10.3,2006.0,11
